graph,source,target,edge_type,value
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Income_Ratio,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,BMI,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Waist_Circumference,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Systolic_BP,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Protein_g,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Diastolic_BP,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Total_Calories,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Total_Calories,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Total_Calories,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Total_Calories,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Total_Calories,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Calories,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Carbohydrates_g,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Protein_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Carbohydrates_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Carbohydrates_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Total_Sugars_g,Carbohydrates_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Carbohydrates_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Total_Sugars_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Total_Sugars_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Dietary_Fiber_g,Total_Sugars_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Gender,Dietary_Fiber_g,directed,1.0
resit_regressor_random_forest_alpha_0p010_constraint_unconstrained,Vigorous_Activity,Dietary_Fiber_g,directed,1.0
